State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.65223	0.65467	0.65547	0.65580	0.65843	0.65961	0.65900	0.65947	0.66304	0.66661	0.67371	0.68048	0.68584	0.69243	0.69750	0.70338	0.70898	0.71372	0.71800	0.72026	0.72538
2	1.15171	1.14755	1.15102	1.14824	1.13367	1.12743	1.13853	1.16628	1.18987	1.20166	1.20583	1.19611	1.19473	1.18293	1.18085	1.16905	1.16836	1.17738	1.17946	1.18016	1.17252
3	2.25635	2.01336	2.04807	2.39520	2.39520	3.02004	2.74233	2.25635	2.25635	2.01336	1.52737	1.31910	1.59680	1.56209	1.38852	1.56209	1.42324	1.07610	0.93725	1.63151	1.56209
4	3.44393	3.38781	3.21944	3.00515	2.97454	2.94392	3.13270	3.08168	2.78576	2.65310	2.42861	2.54596	2.43881	2.47963	2.56127	2.59698	2.51024	2.42861	2.51535	2.56127	2.70412
5	4.36226	4.39669	4.35734	4.28357	4.18521	3.99341	3.78686	3.59014	3.48686	3.34915	3.25079	3.01473	2.99506	2.93604	3.00981	3.01473	3.07866	3.03932	2.97539	2.97047	2.94096
6	1.18839	1.13437	1.15462	1.18163	1.14787	1.25591	1.28292	1.33693	1.43822	1.58001	1.64753	1.58677	1.37070	1.35719	1.36394	1.35044	1.41796	1.40446	1.33018	1.32343	1.22215
7	1.21215	1.16015	1.19615	1.14815	1.29216	1.29616	1.43618	1.52419	1.52019	1.45218	1.43218	1.37618	1.40418	1.36817	1.38818	1.50019	1.45218	1.45619	1.57620	1.50019	1.57620
8	1.25775	1.31185	1.32988	1.46963	1.37947	1.38623	1.50570	1.55303	1.57107	1.61840	1.68151	1.70180	1.71082	1.69955	1.61840	1.51021	1.56430	1.61840	1.56205	1.56205	1.50795
9	2.18345	2.04645	1.98223	1.93942	1.93086	2.02933	1.99936	2.02933	2.11923	2.09783	1.97795	1.95226	1.73392	1.64401	1.54126	1.53270	1.44707	1.52413	1.51985	1.60976	1.50701
10	1.24303	1.22832	1.23042	1.20205	1.17578	1.16212	1.13795	1.10328	1.07491	1.04338	1.01081	1.00346	1.00241	0.98559	0.97193	0.95933	0.96353	0.96353	0.93411	0.94146	0.96143
11	1.90602	1.89297	1.88970	1.89732	1.90747	1.90856	1.90675	1.92198	1.93648	1.96912	2.00067	2.03403	2.07682	2.11526	2.15189	2.17220	2.17437	2.17147	2.18416	2.19396	2.18888
12	4.30993	4.36236	4.38619	4.39334	4.39215	4.36594	4.30993	4.24678	4.14311	4.00966	3.84283	3.64742	3.48060	3.27684	3.08023	2.91221	2.76684	2.63219	2.52018	2.38673	2.29259
