State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.71961	0.71176	0.69824	0.67711	0.64242	0.59473	0.53402	0.46779	0.41417	0.38898	0.37931	0.37815	0.38914	0.40533	0.42612	0.45056	0.47177	0.48804	0.50041	0.51066	0.52041
2	2.47035	2.45688	2.43116	2.38891	2.32828	2.22479	2.03923	1.77836	1.53096	1.36378	1.27804	1.25906	1.34540	1.51871	1.69263	1.83960	1.96636	2.04658	2.07781	2.08761	2.08455
3	3.67673	4.56528	5.30062	6.12789	7.32283	9.55951	11.45915	13.11368	13.11368	11.15276	8.73224	10.26421	12.53153	14.03286	13.63455	12.77665	11.27531	9.52887	8.36457	6.71004	5.36190
4	3.50363	4.07106	5.12485	6.90369	10.03354	14.36579	19.12587	23.70581	26.39433	33.88795	39.19294	24.15614	20.32827	17.14438	14.75758	11.94747	8.99776	6.42182	4.73306	3.67926	2.96323
5	5.68653	6.78911	8.49941	10.60039	13.98192	18.73951	24.83842	32.58252	40.63482	39.92726	38.21696	53.12348	54.30854	52.83699	47.97088	39.64076	30.44681	23.18455	17.90606	13.86906	11.06486
6	1.95482	2.18725	2.36605	2.49120	2.86071	3.33154	3.80236	4.23743	4.27319	3.12294	2.19917	2.10381	1.92502	1.74623	1.76411	1.71643	1.56147	1.51975	1.56147	1.54359	1.51975
7	1.61016	1.60663	1.52188	1.70903	1.84674	1.84674	1.87145	1.79730	1.43360	1.20762	0.97104	0.88629	0.80155	0.77330	0.83686	0.90748	1.08756	1.06284	1.02753	1.08403	0.97104
8	1.71895	1.75476	1.89204	2.04324	1.95570	1.89204	1.67120	1.41654	1.07832	0.90921	0.72817	0.67246	0.64660	0.72220	0.75204	0.99476	1.21759	1.41455	1.40659	1.37476	1.37874
9	4.63289	4.65934	4.72358	4.67446	4.22855	3.23471	2.19930	1.59846	1.33016	1.22057	1.29615	1.23191	1.37173	1.88565	3.99048	8.06410	12.06214	14.21609	14.71490	14.43904	13.48677
10	1.56087	1.46164	1.26317	1.05542	0.85046	0.69743	0.62509	0.57408	0.54162	0.53327	0.53420	0.53420	0.56295	0.59727	0.66775	0.89683	1.38744	2.05334	2.76005	3.36473	3.91377
11	1.28641	1.24896	1.20703	1.13757	1.04955	0.91607	0.79828	0.62512	0.50317	0.44491	0.42539	0.42315	0.45035	0.49517	0.55982	0.64624	0.76531	0.88406	0.99257	1.09948	1.18238
12	0.45015	0.41123	0.37863	0.35339	0.33130	0.31552	0.30185	0.29975	0.29764	0.30290	0.32499	0.33130	0.34287	0.35444	0.36285	0.37652	0.38494	0.42175	0.47854	0.52587	0.58267
