State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	73.94730	0.24742	0.57036	0.76199	0.67369	0.37932	0.55489	1.18948
2	5.01125	2.19062	1.02040	0.81592	1.20595	1.27808	2.01313	1.02530
3	0.10016	21.29550	2.98940	0.81056	1.52753	8.73251	9.31398	0.54807
4	0.68144	41.97214	5.34286	1.05133	2.42886	39.19414	13.88446	0.47728
5	0.70696	46.22174	7.69555	1.82849	3.25113	38.21379	24.15772	0.21707
6	0.51492	0.45169	1.31499	1.47370	1.64771	2.19924	2.41339	0.34224
7	0.86909	0.24121	1.28317	1.24478	1.43233	0.97107	1.32339	0.49856
8	1.54248	0.19859	1.35670	1.29779	1.68169	0.72819	1.32729	0.53486
9	0.81210	0.51611	1.87042	2.26832	1.97816	1.29619	4.92365	0.13083
10	3.30892	0.51030	1.33849	2.28904	1.00987	0.53422	1.16147	0.13111
11	9.58757	0.44121	1.90622	1.85635	2.00088	0.42540	0.82607	0.38298
12	2.91782	0.07838	5.21625	2.19938	3.84324	0.32500	0.41278	0.24775
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
