State (Emission order)	H2az	H3k4me3	H3k9ac	H3k27ac	H3k4me2	H3k4me1	H3k79me2	H3k36me3	H3k9me1	H3k27me3
1	0.001941930134790291	9.996620849108079E-5	1.2199028700579798E-4	0.001071079670490328	1.6082490199609558E-4	2.6748383293785053E-4	1.4393216788755407E-5	5.680917780760057E-4	0.001176976771332209	0.0041867441289476556
2	0.004728809037209642	8.44912692414999E-5	3.259721696389114E-4	0.0013944120002958081	7.167272385303329E-4	0.002080109602850892	8.250332563394084E-5	4.349128873348888E-4	0.0028656407421458942	0.36786412340590297
3	0.4164521801937519	0.418126497301472	0.07557336166105462	0.061084749409497825	0.4787717862542706	0.29006744130076695	0.026508155688412516	0.33674523500155823	0.19923209110105	0.8518175477364531
4	0.728118848991357	0.23420460523429792	0.07662521651084404	0.01933825093882434	0.3223413867582175	0.18676469541042712	0.011746592442633683	4.4693943361018854E-4	8.035918460353996E-4	0.01215388469929294
5	0.6622129307457955	0.9912904356116571	0.9260536792083452	0.663057304216	0.8138768796874598	0.3182020458598945	0.5797873691299075	0.01827044192667992	0.0013852677862595925	0.002143619830947697
6	0.4201212715887184	0.38145372037656067	0.9015350903279994	0.995046333871165	0.9637539243980898	0.9669491770266422	0.1427287710027489	0.0156809120767935	0.005396431219722865	8.640921234557318E-5
7	0.34660951378320115	0.02920881613117199	0.1861795323689103	0.6963849884932958	0.6341678138902785	0.9526375681812875	0.010629387436793793	0.014738138304469645	0.0067804438134325155	4.4373550161789897E-4
8	0.09335527612731666	3.413813942396462E-23	0.004410691138612022	0.09737508011811462	0.10429962555207585	0.673861814362577	0.012592505792542362	0.016789054192750612	0.006724451715562943	0.002283183340135048
9	0.019875162657910693	0.13262905791247376	0.09010718173017718	0.3099066916139568	0.48138006305322334	0.8576638041112173	0.8687362598077913	0.15559166506373173	0.02716821314972458	1.7878939606938836E-4
10	0.0010284746671220728	1.8917659041850228E-4	0.0012795206086946025	0.012513544031699998	0.004442312023152011	0.030822093485724726	0.6879598935107982	0.10461505791050618	0.014090808163957042	1.742003363599753E-4
11	0.0026064033134341404	1.067570930141891E-4	5.202156401714535E-4	0.0046592265277748445	2.5296452318159267E-4	8.788017208006327E-4	0.015949621374734112	0.02162300230524078	0.0050819748418407295	1.405110073878409E-4
12	6.32618964438355E-4	7.630528464189354E-4	0.0013023480970564022	0.013152115079853323	7.350683845089946E-4	0.006868637676440788	0.042489863826337904	0.38535886396602065	0.007415312720473527	0.002001894025372361
