12	10	E	-6848865.330347113	200
probinit	1	1.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	3.779409434201037E-188
probinit	12	0.0
transitionprobs	1	1	0.9920816598651446
transitionprobs	1	2	0.003509021155961741
transitionprobs	1	3	4.9761940100388026E-6
transitionprobs	1	4	0.0015834852236259287
transitionprobs	1	5	1.877980721586601E-5
transitionprobs	1	6	3.7038337262850954E-6
transitionprobs	1	7	1.1819946516615829E-4
transitionprobs	1	8	0.0024732385658132574
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	1.5068663571733918E-4
transitionprobs	1	12	5.624925361844255E-5
transitionprobs	2	1	0.0481683974267425
transitionprobs	2	2	0.94408035293227
transitionprobs	2	3	0.0031992139303834797
transitionprobs	2	4	0.0037612782205618278
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	7.835842794129619E-4
transitionprobs	2	9	0.0
transitionprobs	2	10	7.173210629307287E-6
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	3	1	0.0021343317835528456
transitionprobs	3	2	0.15960625818885738
transitionprobs	3	3	0.6610086913450473
transitionprobs	3	4	0.09029489133480952
transitionprobs	3	5	0.004616129857257117
transitionprobs	3	6	2.5926468076420772E-5
transitionprobs	3	7	5.655180745733394E-4
transitionprobs	3	8	0.0022965161249858712
transitionprobs	3	9	0.0
transitionprobs	3	10	1.7350931321028987E-4
transitionprobs	3	11	0.0
transitionprobs	3	12	0.07927822750963003
transitionprobs	4	1	0.16139516819045097
transitionprobs	4	2	0.028503579168789844
transitionprobs	4	3	0.011947411453314169
transitionprobs	4	4	0.6380555005546141
transitionprobs	4	5	0.10684469588359947
transitionprobs	4	6	0.0020575309477196503
transitionprobs	4	7	0.003456700507285864
transitionprobs	4	8	0.016677797165171367
transitionprobs	4	9	7.004403522450362E-5
transitionprobs	4	10	6.309090699169159E-4
transitionprobs	4	11	0.03036066302391316
transitionprobs	4	12	0.0
transitionprobs	5	1	0.0015680077716477385
transitionprobs	5	2	0.0
transitionprobs	5	3	6.629581139342803E-4
transitionprobs	5	4	0.1066567047986426
transitionprobs	5	5	0.8243680967339099
transitionprobs	5	6	0.008793753920883798
transitionprobs	5	7	0.0024121759661681666
transitionprobs	5	8	0.003355326328933267
transitionprobs	5	9	0.04666756395265111
transitionprobs	5	10	0.0026709300375618674
transitionprobs	5	11	0.0028444823756673923
transitionprobs	5	12	0.0
transitionprobs	6	1	6.036309690161982E-4
transitionprobs	6	2	0.0
transitionprobs	6	3	4.909673459316599E-5
transitionprobs	6	4	0.0026295920394698107
transitionprobs	6	5	0.011226378885767718
transitionprobs	6	6	0.7424868786099713
transitionprobs	6	7	0.1925912641471429
transitionprobs	6	8	0.01099460085066524
transitionprobs	6	9	0.03753947593141941
transitionprobs	6	10	0.0
transitionprobs	6	11	0.001877659577705675
transitionprobs	6	12	1.4222542486457533E-6
transitionprobs	7	1	0.009251046207672345
transitionprobs	7	2	0.0
transitionprobs	7	3	0.0
transitionprobs	7	4	0.002523156031387114
transitionprobs	7	5	0.0017497156261917085
transitionprobs	7	6	0.1127952343464773
transitionprobs	7	7	0.6051828752721464
transitionprobs	7	8	0.24889731712908805
transitionprobs	7	9	0.006390118048689306
