State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12
1	0.9920816598651446	0.003509021155961741	4.9761940100388026E-6	0.0015834852236259287	1.877980721586601E-5	3.7038337262850954E-6	1.1819946516615829E-4	0.0024732385658132574	0.0	0.0	1.5068663571733918E-4	5.624925361844255E-5
2	0.0481683974267425	0.94408035293227	0.0031992139303834797	0.0037612782205618278	0.0	0.0	0.0	7.835842794129619E-4	0.0	7.173210629307287E-6	0.0	0.0
3	0.0021343317835528456	0.15960625818885738	0.6610086913450473	0.09029489133480952	0.004616129857257117	2.5926468076420772E-5	5.655180745733394E-4	0.0022965161249858712	0.0	1.7350931321028987E-4	0.0	0.07927822750963003
4	0.16139516819045097	0.028503579168789844	0.011947411453314169	0.6380555005546141	0.10684469588359947	0.0020575309477196503	0.003456700507285864	0.016677797165171367	7.004403522450362E-5	6.309090699169159E-4	0.03036066302391316	0.0
5	0.0015680077716477385	0.0	6.629581139342803E-4	0.1066567047986426	0.8243680967339099	0.008793753920883798	0.0024121759661681666	0.003355326328933267	0.04666756395265111	0.0026709300375618674	0.0028444823756673923	0.0
6	6.036309690161982E-4	0.0	4.909673459316599E-5	0.0026295920394698107	0.011226378885767718	0.7424868786099713	0.1925912641471429	0.01099460085066524	0.03753947593141941	0.0	0.001877659577705675	1.4222542486457533E-6
7	0.009251046207672345	0.0	0.0	0.002523156031387114	0.0017497156261917085	0.1127952343464773	0.6051828752721464	0.24889731712908805	0.006390118048689306	1.4714881158171838E-4	0.01174881620884089	0.0013145723179250738
8	0.10709645779215081	0.0023968635452930234	1.8179213297866753E-4	0.007503698335752562	0.0014031625901181515	0.0028849076936608626	0.13056503758644736	0.5925257438370611	0.004695816324250679	0.0016739747014227284	0.14322023646352697	0.005852308997337165
9	0.0	0.0	0.0	1.7795788032474573E-5	0.03975521411875508	0.02282754804356646	0.0072972365360391605	0.01002942570258123	0.7840874277558749	0.13138190160924268	0.001349377892607596	0.0032540725533006126
10	0.0	0.0	1.2376479069218145E-5	6.861935902577581E-5	5.007729432128425E-4	0.0	0.0	0.0010451949538095762	0.03186431115395242	0.9403899522562557	0.02040842787137729	0.005710344983297232
11	0.0012262276515895723	1.7286753942331994E-5	0.0	0.002245696659992366	2.2752733934388965E-4	1.0305986567623513E-4	0.0010319184707735115	0.02476458339191489	1.269079628790365E-4	0.006878304657832691	0.9545458603723105	0.00883262687374495
12	0.0013149566165187034	0.0	0.002746073750104492	0.0	0.0	0.0	4.1975908509447993E-4	0.002942727461496631	9.416699420022378E-4	0.0060662552339912435	0.02941122489102397	0.9561573330197682
